method,dataset,patient_id,llm_provider,llm_model,llm_used,llm_fallback_used,retrieved_chunks,xgboost_sec,shap_sec,dice_sec,rag_retrieval_sec,guardrail_sec,llm_api_sec,llm_summary_sec,component_sum_sec,total_inference_sec
BRANCH-Gemma4-26B,maternal_health,42,gemini,gemma-4-26b-a4b-it,True,False,3,0.0029,0.1365,0.0027,0.0063,0.0,17.9952,17.9966,18.145,18.145
BRANCH-Gemma4-26B,maternal_health,43,gemini,gemma-4-26b-a4b-it,True,False,3,0.0029,0.0676,0.0031,0.0077,0.0,18.188,18.1897,18.270999999999997,18.271
BRANCH-Gemma4-26B,maternal_health,48,gemini,gemma-4-26b-a4b-it,True,False,3,0.003,0.0978,0.0034,0.0084,0.0001,18.2017,18.2033,18.316,18.3159
BRANCH-Gemma4-26B,maternal_health,5,gemini,gemma-4-26b-a4b-it,True,False,3,0.0033,0.0974,0.0032,0.0081,0.0001,17.8007,17.8022,17.9143,17.9142
BRANCH-Gemma4-26B,maternal_health,63,gemini,gemma-4-26b-a4b-it,True,False,3,0.003,0.0608,0.0025,0.0081,0.0,18.1936,18.1947,18.2691,18.2691
BRANCH-Gemma4-26B,maternal_health,73,gemini,gemma-4-26b-a4b-it,True,False,3,0.0027,0.068,0.0018,0.0069,0.0,18.0661,18.0675,18.1469,18.1469
BRANCH-Gemma4-26B,maternal_health,80,gemini,gemma-4-26b-a4b-it,True,False,3,0.0039,0.1503,0.3344,0.0102,0.0001,18.5958,18.5978,19.0967,19.0967
BRANCH-Gemma4-26B,maternal_health,83,gemini,gemma-4-26b-a4b-it,True,False,3,0.003,0.0972,0.0032,0.0068,0.0,18.2088,18.2102,18.3204,18.3205
BRANCH-Gemma4-26B,maternal_health,87,gemini,gemma-4-26b-a4b-it,True,False,3,0.004,0.1007,0.003,0.0069,0.0,18.1703,18.1713,18.285899999999998,18.2859
BRANCH-Gemma4-26B,maternal_health,90,gemini,gemma-4-26b-a4b-it,True,False,3,0.0034,0.079,0.0027,0.0069,0.0,18.0482,18.0497,18.1417,18.1417
BRANCH-Gemma4-26B,maternal_health,98,gemini,gemma-4-26b-a4b-it,True,False,3,0.0031,0.1544,0.2214,0.0079,0.0,17.9756,17.977,18.3638,18.3638
BRANCH-Gemma4-26B,npha,0,gemini,gemma-4-26b-a4b-it,True,False,3,0.0031,1.1694,0.0963,0.0847,0.0002,18.0552,18.0586,19.4123,19.4124
BRANCH-Gemma4-26B,npha,20,gemini,gemma-4-26b-a4b-it,True,False,3,0.0032,0.0545,0.004,0.0097,0.0001,17.8936,17.8951,17.9666,17.9666
BRANCH-Gemma4-26B,npha,22,gemini,gemma-4-26b-a4b-it,True,False,3,0.004,0.0464,0.0031,0.0065,0.0,18.001,18.0024,18.0624,18.0624
BRANCH-Gemma4-26B,npha,29,gemini,gemma-4-26b-a4b-it,True,False,3,0.0032,0.0469,0.2101,0.0084,0.0,18.3379,18.3396,18.6082,18.6082
BRANCH-Gemma4-26B,npha,2,gemini,gemma-4-26b-a4b-it,True,False,3,0.004,0.0538,0.0041,0.0094,0.0,17.9432,17.9447,18.016000000000002,18.0161
BRANCH-Gemma4-26B,npha,32,gemini,gemma-4-26b-a4b-it,True,False,3,0.0029,0.1115,0.0031,0.007,0.0,17.9901,17.9912,18.1157,18.1157
BRANCH-Gemma4-26B,npha,34,gemini,gemma-4-26b-a4b-it,True,False,3,0.0031,0.0451,0.0031,0.0063,0.0,17.7914,17.7924,17.85,17.85
BRANCH-Gemma4-26B,npha,3,gemini,gemma-4-26b-a4b-it,True,False,3,0.0039,0.0463,0.0036,0.007,0.0,17.959,17.96,18.0208,18.0208
BRANCH-Gemma4-26B,npha,43,gemini,gemma-4-26b-a4b-it,True,False,3,0.0032,0.0467,0.0036,0.0066,0.0,17.8541,17.8552,17.9153,17.9153
BRANCH-Gemma4-26B,npha,51,gemini,gemma-4-26b-a4b-it,True,False,3,0.0043,0.0487,0.0039,0.007,0.0,18.0291,18.0302,18.0941,18.0941
BRANCH-Gemma4-26B,npha,65,gemini,gemma-4-26b-a4b-it,True,False,3,0.0037,0.045,0.0037,0.0074,0.0,18.0442,18.0457,18.1055,18.1055
BRANCH-Gemma4-26B,npha,6,gemini,gemma-4-26b-a4b-it,True,False,3,0.0033,0.0454,0.0032,0.0068,0.0,18.1275,18.1289,18.187600000000003,18.1876
BRANCH-Gemma4-26B,npha,71,gemini,gemma-4-26b-a4b-it,True,False,3,0.0033,0.0526,0.0038,0.0077,0.0,17.9456,17.9466,18.014,18.014
BRANCH-Gemma4-26B,npha,72,gemini,gemma-4-26b-a4b-it,True,False,3,0.0031,0.0459,0.0051,0.0065,0.0,18.2231,18.225,18.285600000000002,18.2857
BRANCH-Gemma4-26B,npha,73,gemini,gemma-4-26b-a4b-it,True,False,3,0.0032,0.0533,0.2528,0.0116,0.0001,17.9928,17.9945,18.3155,18.3155
BRANCH-Gemma4-26B,npha,74,gemini,gemma-4-26b-a4b-it,True,False,3,0.0037,0.1331,0.0031,0.0076,0.0,17.9748,17.9763,18.1238,18.1238
BRANCH-Gemma4-26B,npha,77,gemini,gemma-4-26b-a4b-it,True,False,3,0.0035,0.0565,0.0052,0.0094,0.0,18.2006,18.2023,18.2769,18.277
BRANCH-Gemma4-26B,npha,78,gemini,gemma-4-26b-a4b-it,True,False,3,0.0044,0.0669,0.2866,0.0114,0.0001,18.161,18.1631,18.5325,18.5326
BRANCH-Gemma4-26B,npha,79,gemini,gemma-4-26b-a4b-it,True,False,3,0.0034,0.0476,0.0043,0.0081,0.0,18.0784,18.0795,18.1429,18.1429
BRANCH-Gemma4-26B,npha,84,gemini,gemma-4-26b-a4b-it,True,False,3,0.0047,0.0463,0.0032,0.0063,0.0,18.0459,18.0465,18.107000000000003,18.1069
BRANCH-Gemma4-31B,gallstone,102,gemini,gemma-4-31b-it,True,False,3,0.0057,0.0491,0.0051,0.0077,0.0,23.1124,23.1137,23.1813,23.1814
BRANCH-Gemma4-31B,gallstone,103,gemini,gemma-4-31b-it,True,False,3,0.0065,0.118,0.0057,0.0067,0.0,23.2974,23.2993,23.4362,23.4364
BRANCH-Gemma4-31B,gallstone,14,gemini,gemma-4-31b-it,True,False,3,0.0047,0.0437,0.0059,0.0066,0.0,26.7,26.7013,26.7622,26.7622
BRANCH-Gemma4-31B,gallstone,1,gemini,gemma-4-31b-it,True,False,3,0.0067,1.2509,0.1579,0.1015,0.0,24.1812,24.1845,25.7015,25.7015
BRANCH-Gemma4-31B,gallstone,20,gemini,gemma-4-31b-it,True,False,3,0.0055,0.059,0.0068,0.0114,0.0001,23.8401,23.841,23.9238,23.9238
BRANCH-Gemma4-31B,gallstone,21,gemini,gemma-4-31b-it,True,False,3,0.0046,0.0476,0.0048,0.0073,0.0,23.3845,23.3852,23.4495,23.4494
BRANCH-Gemma4-31B,gallstone,37,gemini,gemma-4-31b-it,True,False,3,0.0067,0.0501,0.0058,0.0069,0.0001,26.3346,26.3359,26.4055,26.4054
BRANCH-Gemma4-31B,gallstone,48,gemini,gemma-4-31b-it,True,False,3,0.0054,0.0477,0.0048,0.0069,0.0,26.0822,26.0827,26.1475,26.1477
BRANCH-Gemma4-31B,gallstone,50,gemini,gemma-4-31b-it,True,False,3,0.0051,0.0478,0.0051,0.0072,0.0,26.2828,26.2838,26.349,26.349
BRANCH-Gemma4-31B,gallstone,52,gemini,gemma-4-31b-it,True,False,3,0.0049,0.0453,0.0051,0.0072,0.0,26.3016,26.3025,26.365,26.3651
BRANCH-Gemma4-31B,gallstone,54,gemini,gemma-4-31b-it,True,False,3,0.0109,0.0462,0.0048,0.0081,0.0,26.3071,26.3084,26.3784,26.3785
BRANCH-Gemma4-31B,gallstone,57,gemini,gemma-4-31b-it,True,False,3,0.0065,0.1302,0.006,0.0076,0.0001,23.2809,23.2822,23.4326,23.4325
BRANCH-Gemma4-31B,gallstone,58,gemini,gemma-4-31b-it,True,False,3,0.0053,0.0496,0.0047,0.0071,0.0,23.2259,23.2264,23.293100000000003,23.2931
BRANCH-Gemma4-31B,gallstone,63,gemini,gemma-4-31b-it,True,False,3,0.0045,0.0493,0.0052,0.0074,0.0,23.1913,23.1918,23.258200000000002,23.2583
BRANCH-Gemma4-31B,gallstone,71,gemini,gemma-4-31b-it,True,False,3,0.0045,0.048,0.0061,0.0068,0.0,23.4898,23.4911,23.5565,23.5566
BRANCH-Gemma4-31B,gallstone,74,gemini,gemma-4-31b-it,True,False,3,0.006,0.0482,0.0056,0.007,0.0,23.3575,23.3581,23.4249,23.4249
BRANCH-Gemma4-31B,gallstone,87,gemini,gemma-4-31b-it,True,False,3,0.0052,0.0479,0.0052,0.0065,0.0,24.8165,24.8173,24.8821,24.8822
BRANCH-Gemma4-31B,gallstone,88,gemini,gemma-4-31b-it,True,False,3,0.0052,0.0469,0.0051,0.0074,0.0,23.5411,23.5424,23.607,23.607
BRANCH-Gemma4-31B,gallstone,92,gemini,gemma-4-31b-it,True,False,3,0.0051,0.054,0.4521,0.0071,0.0001,25.4117,25.4126,25.931,25.9311
BRANCH-Gemma4-31B,gallstone,99,gemini,gemma-4-31b-it,True,False,3,0.0028,0.0284,0.0028,0.0054,0.0,23.5075,23.5091,23.5485,23.5486
BRANCH-Gemma4-31B,maternal_health,0,gemini,gemma-4-31b-it,True,False,3,0.0138,2.3236,0.736,0.0875,0.0001,23.3319,23.336,26.497,26.497
BRANCH-Gemma4-31B,maternal_health,102,gemini,gemma-4-31b-it,True,False,3,0.0034,0.0905,0.3138,0.0118,0.0001,23.4551,23.4568,23.8764,23.8764
BRANCH-Gemma4-31B,maternal_health,17,gemini,gemma-4-31b-it,True,False,3,0.0059,0.1463,0.0054,0.0115,0.0001,23.3371,23.339,23.5082,23.5081
BRANCH-Gemma4-31B,maternal_health,18,gemini,gemma-4-31b-it,True,False,3,0.0039,0.1364,0.0041,0.008,0.0,23.3493,23.3507,23.5031,23.5031
